AMBITO,VARIABLE,PERIODO,TOTAL,Hombres,Mujeres
Tenerife,65 a 69,2004,33323,15747,17576
Tenerife,65 a 69,2003,34049,16139,17910
Tenerife,65 a 69,2002,34156,16102,18054
Tenerife,65 a 69,2001,32794,15473,17321
Tenerife,65 a 69,2000,30696,14327,16369
Tenerife,70 a 74,2020,38068,17798,20270
Tenerife,70 a 74,2019,37460,17503,19957
Tenerife,70 a 74,2018,36855,17095,19760
Tenerife,70 a 74,2017,36373,16927,19446
Tenerife,70 a 74,2016,35324,16543,18781
Tenerife,70 a 74,2015,34714,16297,18417
Tenerife,70 a 74,2014,32984,15408,17576
Tenerife,70 a 74,2013,32969,15462,17507
Tenerife,70 a 74,2012,32285,15160,17125
Tenerife,70 a 74,2011,32424,15104,17320
Tenerife,70 a 74,2010,31881,14804,17077
Tenerife,70 a 74,2009,32808,15183,17625
Tenerife,70 a 74,2008,32817,15196,17621
Tenerife,70 a 74,2007,32700,15053,17647
Tenerife,70 a 74,2006,31615,14562,17053
Tenerife,70 a 74,2005,30308,13851,16457
Tenerife,70 a 74,2004,28572,13014,15558
Tenerife,70 a 74,2003,27733,12562,15171
Tenerife,70 a 74,2002,25846,11677,14169
Tenerife,70 a 74,2001,24555,11065,13490
Tenerife,70 a 74,2000,22408,10072,12336
Tenerife,75 a 79,2020,30117,13370,16747
Tenerife,75 a 79,2019,27859,12270,15589
Tenerife,75 a 79,2018,26367,11616,14751
Tenerife,75 a 79,2017,25178,11038,14140
Tenerife,75 a 79,2016,25644,11226,14418
Tenerife,75 a 79,2015,25245,11018,14227
Tenerife,75 a 79,2014,26872,11731,15141
Tenerife,75 a 79,2013,28505,12556,15949
Tenerife,75 a 79,2012,29173,12823,16350
Tenerife,75 a 79,2011,28347,12465,15882
Tenerife,75 a 79,2010,27321,11946,15375
Tenerife,75 a 79,2009,25865,11267,14598
Tenerife,75 a 79,2008,24412,10572,13840
Tenerife,75 a 79,2007,22717,9773,12944
Tenerife,75 a 79,2006,21569,9238,12331
Tenerife,75 a 79,2005,20508,8856,11652
Tenerife,75 a 79,2004,19394,8289,11105
Tenerife,75 a 79,2003,18784,8049,10735
Tenerife,75 a 79,2002,17975,7633,10342
Tenerife,75 a 79,2001,17331,7399,9932
Tenerife,75 a 79,2000,15749,6582,9167
Tenerife,80 a 84,2020,19782,7885,11897
Tenerife,80 a 84,2019,20580,8245,12335
Tenerife,80 a 84,2018,20911,8393,12518
Tenerife,80 a 84,2017,21185,8437,12748
Tenerife,80 a 84,2016,20815,8300,12515
Tenerife,80 a 84,2015,20195,8043,12152
Tenerife,80 a 84,2014,19553,7808,11745
Tenerife,80 a 84,2013,19435,7900,11535
Tenerife,80 a 84,2012,18486,7454,11032
Tenerife,80 a 84,2011,17354,6924,10430
Tenerife,80 a 84,2010,16490,6641,9849
Tenerife,80 a 84,2009,15519,6177,9342
Tenerife,80 a 84,2008,14616,5805,8811
Tenerife,80 a 84,2007,13964,5529,8435
Tenerife,80 a 84,2006,13334,5311,8023
Tenerife,80 a 84,2005,12764,4974,7790
Tenerife,80 a 84,2004,11662,4526,7136
Tenerife,80 a 84,2003,11180,4334,6846
Tenerife,80 a 84,2002,10427,4009,6418
Tenerife,80 a 84,2001,10277,3902,6375
Tenerife,80 a 84,2000,9580,3587,5993
Tenerife,85 a 89,2020,13565,4815,8750
Tenerife,85 a 89,2019,12797,4505,8292
Tenerife,85 a 89,2018,12152,4226,7926
Tenerife,85 a 89,2017,11242,3901,7341
Tenerife,85 a 89,2016,10610,3693,6917
Tenerife,85 a 89,2015,10061,3469,6592
Tenerife,85 a 89,2014,9741,3414,6327
Tenerife,85 a 89,2013,9575,3450,6125
Tenerife,85 a 89,2012,9386,3390,5996
Tenerife,85 a 89,2011,8945,3272,5673
Tenerife,85 a 89,2010,8532,3082,5450
Tenerife,85 a 89,2009,7831,2774,5057
Tenerife,85 a 89,2008,7196,2536,4660
Tenerife,85 a 89,2007,6725,2344,4381
Tenerife,85 a 89,2006,6536,2259,4277
Tenerife,85 a 89,2005,6307,2137,4170
Tenerife,85 a 89,2004,6354,2189,4165
Tenerife,85 a 89,2003,6402,2214,4188
Tenerife,85 a 89,2002,6364,2206,4158
Tenerife,85 a 89,2001,6585,2274,4311
Tenerife,85 a 89,2000,5995,2054,3941
Tenerife,90 a 94,2020,4962,1476,3486
Tenerife,90 a 94,2019,4537,1327,3210
Tenerife,90 a 94,2018,4210,1231,2979
Tenerife,90 a 94,2017,3989,1169,2820
Tenerife,90 a 94,2016,3840,1174,2666
Tenerife,90 a 94,2015,3651,1117,2534
Tenerife,90 a 94,2014,3492,1089,2403
Tenerife,90 a 94,2013,3560,1156,2404
Tenerife,90 a 94,2012,3357,1083,2274
Tenerife,90 a 94,2011,3182,998,2184
Tenerife,90 a 94,2010,3010,922,2088
Tenerife,90 a 94,2009,2938,893,2045
Tenerife,90 a 94,2008,2905,880,2025
Tenerife,90 a 94,2007,2905,889,2016
Tenerife,90 a 94,2006,3003,945,2058
Tenerife,90 a 94,2005,3014,961,2053
Tenerife,90 a 94,2004,2695,832,1863
Tenerife,90 a 94,2003,2635,818,1817
Tenerife,90 a 94,2002,2508,729,1779
Tenerife,90 a 94,2001,2558,769,1789
Tenerife,90 a 94,2000,2144,638,1506
Tenerife,95 a 99,2020,1092,287,805
Tenerife,95 a 99,2019,1031,274,757
Tenerife,95 a 99,2018,999,264,735
Tenerife,95 a 99,2017,956,257,699
Tenerife,95 a 99,2016,921,250,671
Tenerife,95 a 99,2015,939,251,688
Tenerife,95 a 99,2014,941,262,679
Tenerife,95 a 99,2013,987,284,703
Tenerife,95 a 99,2012,1043,315,728
Tenerife,95 a 99,2011,1022,312,710
Tenerife,95 a 99,2010,980,300,680
Tenerife,95 a 99,2009,876,257,619
Tenerife,95 a 99,2008,856,255,601
Tenerife,95 a 99,2007,824,247,577
Tenerife,95 a 99,2006,891,254,637
Tenerife,95 a 99,2005,780,231,549
Tenerife,95 a 99,2004,695,192,503
Tenerife,95 a 99,2003,648,175,473
Tenerife,95 a 99,2002,623,173,450
Tenerife,95 a 99,2001,644,181,463
Tenerife,95 a 99,2000,487,135,352
Tenerife,100 o mas ,2020,330,133,197
Tenerife,100 o mas ,2019,301,130,171
Tenerife,100 o mas ,2018,269,114,155
Tenerife,100 o mas ,2017,328,103,225
Tenerife,100 o mas ,2016,328,110,218
Tenerife,100 o mas ,2015,309,97,212
Tenerife,100 o mas ,2014,281,87,194
Tenerife,100 o mas ,2013,249,72,177
Tenerife,100 o mas ,2012,205,59,146
Tenerife,100 o mas ,2011,198,52,146
Tenerife,100 o mas ,2010,147,37,110
Tenerife,100 o mas ,2009,136,38,98
Tenerife,100 o mas ,2008,112,24,88
Tenerife,100 o mas ,2007,167,50,117
Tenerife,100 o mas ,2006,237,75,162
Tenerife,100 o mas ,2005,188,63,125
Tenerife,100 o mas ,2004,173,51,122
Tenerife,100 o mas ,2003,167,50,117
Tenerife,100 o mas ,2002,140,39,101
Tenerife,100 o mas ,2001,100,25,75
Tenerife,100 o mas ,2000,54,9,45
