FID,OBJECTID,BARRIO,COD_BARRIO,DISTRITO,H0A4,H5A9,H10A14,H15A19,H20A24,H25A29,H30A34,H35A39,H40A44,H45A49,H50A54,H55A59,H60A64,H65A69,H70A74,H75A79,H80A84,H85A89,H90A94,H95A99,HMAS100,HOMBRES,M0A4,M5A9,M10A14,M15A19,M20A24,M25A29,M30A34,M35A39,M40A44,M45A49,M50A54,M55A59,M60A64,M65A69,M70A74,M75A79,M80A84,M85A89,M90A94,M95A99,MMAS100,MUJERES,TOTAL,AREA,UTM_X,UTM_Y,GRAD_X,GRAD_Y
56,57,ALISIOS,5,SUROESTE,89,114,181,175,145,104,163,170,234,298,228,184,148,97,59,35,14,12,2,0,0,2452,103,141,188,135,136,144,182,189,265,268,250,217,159,77,63,43,30,20,8,5,0,2623,5075,622403,371841,3145417,-16,28
57,58,LLANO DEL MORO,40,SUROESTE,38,34,36,36,49,39,53,57,58,56,60,58,43,25,17,19,5,0,2,0,1,686,25,40,32,38,38,49,42,52,58,53,68,54,32,33,23,15,20,7,0,0,0,679,1365,1284805,369727,3146955,-16,28
58,59,BUENOS AIRES,13,OFRA - COSTA SUR,8,8,9,7,6,7,15,17,12,17,14,20,9,1,5,5,3,4,0,0,0,167,3,1,3,4,11,11,8,12,12,4,12,10,8,7,3,7,9,3,1,0,0,129,296,1894067,375026,3146903,-16,28
59,60,LOS LLANOS,41,SALUD - LA SALLE,87,92,104,63,80,101,135,155,206,168,140,117,67,64,37,36,18,9,2,0,0,1681,86,82,85,58,65,95,134,186,197,164,153,100,87,58,57,31,19,14,4,1,0,1676,3357,1051634,377046,3148362,-16,28
60,61,CHAPATAL,22,SALUD - LA SALLE,61,67,114,93,131,112,135,142,147,162,159,179,131,125,109,77,45,33,12,1,3,2038,62,66,100,104,88,108,128,135,150,186,168,187,180,161,129,77,72,55,22,11,2,2191,4229,320051,376127,3149239,-16,28
61,62,BALLESTER,9,OFRA - COSTA SUR,10,15,7,17,21,11,20,17,26,27,25,30,27,21,19,17,5,2,1,0,0,318,6,11,13,15,15,23,15,26,19,19,33,30,27,26,19,26,20,11,10,2,2,368,686,228269,374816,3148977,-16,28
62,63,VILLA ASCENSION,76,SALUD - LA SALLE,21,20,34,44,66,55,67,69,54,53,63,80,69,65,45,18,32,10,5,1,0,871,17,23,26,50,54,73,68,61,55,55,97,123,78,58,53,40,31,18,10,2,0,992,1863,147012,374969,3149647,-16,28
63,64,SALAMANCA,52,CENTRO - IFARA,98,112,118,121,133,181,169,216,247,236,188,183,158,131,115,77,48,50,16,9,2,2608,99,114,123,109,160,178,206,241,257,254,254,230,224,174,155,122,107,97,54,18,2,3178,5786,257252,376356,3149882,-16,28
64,65,LAS ACACIAS,1,CENTRO - IFARA,8,10,15,12,23,20,28,13,17,20,24,29,30,19,18,7,6,3,2,0,0,304,6,12,17,14,26,32,26,15,27,24,28,39,31,19,18,5,9,6,3,3,0,360,664,115146,376102,3150274,-16,28
65,66,LAS MIMOSAS,45,CENTRO - IFARA,41,76,84,63,61,66,49,87,112,118,113,80,71,77,63,66,48,28,16,2,1,1322,53,76,78,63,75,72,71,80,112,142,95,82,83,93,93,100,62,38,15,3,1,1487,2809,545086,376777,3150375,-16,28
